thread;rep;throughput;target_string;file_size 
3;5;5.25866e+08;unevenstring;1000 
3;6;5.17304e+08;unevenstring;1000 
3;7;5.25602e+08;unevenstring;1000 
3;8;5.19611e+08;unevenstring;1000 
3;9;5.23764e+08;unevenstring;1000 
3;10;5.22199e+08;unevenstring;1000 
4;1;6.65763e+08;unevenstring;1000 
4;2;6.6534e+08;unevenstring;1000 
4;3;6.54542e+08;unevenstring;1000 
4;4;6.4847e+08;unevenstring;1000 
4;5;6.59067e+08;unevenstring;1000 
4;6;6.6534e+08;unevenstring;1000 
4;7;6.64076e+08;unevenstring;1000 
4;8;6.42904e+08;unevenstring;1000 
4;9;6.59482e+08;unevenstring;1000 
4;10;6.64497e+08;unevenstring;1000 
5;1;7.45257e+08;unevenstring;1000 
5;2;7.51667e+08;unevenstring;1000 
5;3;7.64268e+08;unevenstring;1000 
5;4;7.49518e+08;unevenstring;1000 
5;5;7.73286e+08;unevenstring;1000 
5;6;7.61493e+08;unevenstring;1000 
5;7;7.48983e+08;unevenstring;1000 
5;8;7.61493e+08;unevenstring;1000 
5;9;7.62601e+08;unevenstring;1000 
5;10;7.67064e+08;unevenstring;1000 
6;1;8.48362e+08;unevenstring;1000 
6;2;8.32203e+08;unevenstring;1000 
6;3;8.05977e+08;unevenstring;1000 
6;4;8.41554e+08;unevenstring;1000 
6;5;8.46308e+08;unevenstring;1000 
6;6;8.1285e+08;unevenstring;1000 
6;7;8.48362e+08;unevenstring;1000 
6;8;8.40879e+08;unevenstring;1000 
6;9;8.10964e+08;unevenstring;1000 
6;10;8.2565e+08;unevenstring;1000 
7;1;8.53194e+08;unevenstring;1000 
7;2;8.30226e+08;unevenstring;1000 
7;3;8.23058e+08;unevenstring;1000 
7;4;8.50427e+08;unevenstring;1000 
7;5;8.49049e+08;unevenstring;1000 
7;6;8.21125e+08;unevenstring;1000 
7;7;8.38861e+08;unevenstring;1000 
7;8;8.53889e+08;unevenstring;1000 
7;9;8.40879e+08;unevenstring;1000 
7;10;8.75272e+08;unevenstring;1000 
8;1;8.81897e+08;unevenstring;1000 
